Benchmark,DE_Time_Taken,1_features_mcc,1_features_mcc_std,1_features_precision,1_features_precision_std,1_features_recall,1_features_recall_std,1_features_f1,1_features_f1_std,3_features_mcc,3_features_mcc_std,3_features_precision,3_features_precision_std,3_features_recall,3_features_recall_std,3_features_f1,3_features_f1_std,10_features_mcc,10_features_mcc_std,10_features_precision,10_features_precision_std,10_features_recall,10_features_recall_std,10_features_f1,10_features_f1_std,20_features_mcc,20_features_mcc_std,20_features_precision,20_features_precision_std,20_features_recall,20_features_recall_std,20_features_f1,20_features_f1_std
N_Bladder_vs_rest,0.4356782436,0.06736108626,0.009843703819,0.01029464954,0.001483336641,0.5416666667,0.07682953714,0.02019820398,0.00288334341,0.115537343,0.008706005088,0.01585921039,0.001497774378,0.925,0.05833333333,0.031180165,0.002913457247,0.2400074164,0.05592205548,0.07434386334,0.05165541931,0.9,0.1040833,0.1306031022,0.07484918744,0.3559441827,0.06274769404,0.1556820745,0.06966974348,0.875,0.1003466215,0.2548362762,0.0876997832
T_OV_vs_rest,0.4397904873,0.6074103515,0.0234217427,0.4099413914,0.03134656085,0.923255814,0.01881342806,0.5669360797,0.02914632009,0.8086221586,0.02364353236,0.6593302615,0.03755853599,1,0,0.7940733238,0.02744803843,0.9267817721,0.01593661441,0.865280325,0.03143919079,0.9953488372,0.003797658516,0.92541877,0.01687535014,0.995298479,0.002349728649,0.9938459718,0.004596057994,0.9968992248,0.003797658516,0.99535777,0.00231869875
T_LIHC_vs_rest,0.4295024872,0.6612917912,0.01139115312,0.4503955832,0.01475999604,0.9866071429,0.008231736123,0.6183064506,0.01390525957,0.6983181792,0.01398733614,0.5012591162,0.01802904277,0.9857142857,0.007142857143,0.664400989,0.01638187276,0.6904901706,0.01416009898,0.4900134015,0.02004624599,0.9866071429,0.008231736123,0.654532495,0.01761867732,0.6937744892,0.01697635894,0.4959866831,0.02359381152,0.9839285714,0.0104124141,0.6591542769,0.0207807118
N_Liver_vs_rest,0.4419105053,0.7279362641,0.01864651307,0.5393269259,0.03140413931,0.9922222222,0.01,0.698112286,0.02414688839,0.861890974,0.01778374567,0.7500562027,0.03419156379,0.9944444444,0.007453559925,0.8545865541,0.02036065025,0.882471686,0.01864407173,0.7866990018,0.03595483262,0.9933333333,0.008888888889,0.8774620841,0.02074611568,0.9129947876,0.02052434204,0.8413236666,0.03849588434,0.9933333333,0.008888888889,0.9104853283,0.02205966698
T_KIRP_vs_rest,0.4311521053,0.3200805407,0.01019932047,0.1188693762,0.008622837876,0.9356321839,0.02475937842,0.2107648996,0.01297221944,0.5152649271,0.01697846568,0.2784778821,0.02079340082,0.9804597701,0.01155158117,0.4332029736,0.02414673769,0.5572434563,0.0217815666,0.3245453312,0.02687634933,0.9793103448,0.01237968921,0.4867309173,0.02981347071,0.5561068652,0.01627182347,0.3264597047,0.02079809242,0.9689655172,0.01546393569,0.487849097,0.02284805856
T_CESC_vs_rest,0.4442543983,0.2686302922,0.007703505474,0.1018455588,0.003737990842,0.7967391304,0.02918635127,0.1805559509,0.005911383473,0.3366041093,0.008811931741,0.1310132408,0.008507352679,0.9347826087,0.02792441865,0.2296193077,0.01250290031,0.4310949903,0.01071521884,0.2033217625,0.01061872827,0.9554347826,0.02087975295,0.3350900917,0.01392842194,0.4252275191,0.01005534261,0.1960798012,0.009547564578,0.9652173913,0.01992424215,0.3257839227,0.01275742923
N_Cervical_vs_rest,0.4200489521,0.01028913138,0.0162200603,0.0004075546352,0.0004993818096,0.4,0.4898979486,0.0008142791511,0.0009977455066,0.0979424835,0.03328454142,0.01079832967,0.003779475454,0.9,0.3,0.02133804784,0.007460394427,-0.000605242285,0.000111011002,0,0,0,0,0,0,-0.0002916604112,7.55E-05,0,0,0,0,0,0
T_SARC_vs_rest,0.4403619766,0.1807883682,0.0227844816,0.0645586946,0.007176687399,0.6151898734,0.0725394875,0.1168122718,0.0128501198,0.2095403167,0.01631738461,0.07004225584,0.004823771554,0.7367088608,0.0619607,0.1278710715,0.008630965438,0.3300796595,0.01470295661,0.1307024695,0.01140796553,0.8949367089,0.04161843601,0.2277618575,0.01691505155,0.539472725,0.02237482836,0.3133163409,0.03107155917,0.9518987342,0.02518955537,0.470188875,0.03255134642
T_ESCA_vs_rest,0.4354944229,0.3606056581,0.01499574698,0.1419327568,0.01083549239,0.9553571429,0.01996489266,0.2469740888,0.01638581947,0.3640488553,0.006256348981,0.1379116719,0.004500023114,1,0,0.242366773,0.006969768768,0.3814053252,0.01156981232,0.1513699624,0.007981237059,0.9964285714,0.01071428571,0.2627415321,0.01221838441,0.4891494284,0.01579301218,0.2495155936,0.02089020173,0.9803571429,0.02179742074,0.3970815647,0.02457037326
T_PCPG_vs_rest,0.4287490845,0.6339036726,0.06086739674,0.416001511,0.08874070045,0.9854545455,0.01090909091,0.5794817616,0.07765897375,0.8634037064,0.02858320757,0.7593272008,0.05695490596,0.9854545455,0.01090909091,0.856297993,0.03210572055,0.8377760505,0.04477824199,0.7156538146,0.08377981073,0.9872727273,0.01164204407,0.8265293111,0.0519871437,0.9263916799,0.01917804319,0.875409516,0.03712781975,0.9818181818,0.008131156282,0.9250998074,0.02006478508
